"lemma","poscode","surface"
"anuncio","3","anuncio"
"aviso","3","aviso"
"comunicacion","3","comunicacion"
"informe","3","informe"
"mensaje","3","mensaje"
"nota","3","nota"
"noticia","3","noticia"
"notificacion","3","notificacion"
"novedad","3","novedad"
"consultar","2","consultar"
"aclaracion","3","aclaracion"
"asesoria","3","asesoria"
"averiguacion","3","averiguacion"
"indagacion","3","indagacion"
"reporte","3","reporte"
"¿ Qué es","3","¿ Qué es"
"Cómo funciona","3","Cómo funciona"
"Necesito saber","3","Necesito saber"
"saber más sobre","3","saber más sobre"
"quiero saber","3","quiero saber"
"me gustaría saber","3","me gustaría saber"
"Quisiera saber","3","Quisiera saber"
"necesito saber","3","necesito saber"
"Necesito saber","3","Necesito saber"
"quisiera saber","3","quisiera saber"
"queria saber","3","queria saber"
"necesito saber","3","necesito saber"
"quisiera saber","3","quisiera saber"
"Necesito saber","3","Necesito saber"
"Cuáles son","3","Cuáles son"
"Es posible","3","Es posible"
"es posible","3","es posible"
"adquirir","3","adquirir"
"necesito información","3","necesito información"
"dame información","3","dame información"
"más información","3","más información"
"dame información","3","dame información"
"podrías explicarme","3","podrías explicarme"
"podrías darme","3","podrías darme"
"podrías decirme","3","podrías decirme"
"cómo funcionan","3","cómo funcionan"
"Cómo funcionan","3","Cómo funcionan"
"me gustaría","3","me gustaría"
"Quisiera solicitar","3","Quisiera solicitar"
"solicitar","3","solicitar"
"puedo solicitar","3","puedo solicitar"
"quiero solicitar","3","quiero solicitar"
"puedo solicitar","3","puedo solicitar"
"Podría decirme","3","Podría decirme"
