"lemma","poscode","surface"
"tarjeta","3","tarjeta"
"credito vehicular","3","credito vehicular"
"transferencia","3","transferencia"
"Credimas","3","Credimas"
"credito vehicular","3","credito vehicular"
"cuenta corriente","3","cuenta corriente"
"cuenta","3","cuenta"
"ahorro","3","ahorro"
"ahorros","3","ahorros"
"tarjeta de credito","3","tarjeta de credito"
"cuenta actual","3","cuenta actual"
"tarjeta de crédito","3","tarjeta de crédito"
"seguro","3","seguro"
"prestamo personal","3","prestamo personal"
"prestamo","3","prestamo"
"cuenta de ahorros","3","cuenta de ahorros"
"prestamo personal","3","prestamo personal"
"seguro respaldo de vida","3","seguro respaldo de vida"
"seguro hogar","3","seguro hogar"
"cocos y lucas","3","cocos y lucas"
"seguro de viajes","3","seguro de viajes"
"SOAT","3","SOAT"
"cuenta sueldo","3","cuenta sueldo"
"Onco respaldo","3","Onco respaldo"
"Adelanto de sueldo","3","Adelanto de sueldo"
"crédito vehicular","4","crédito vehicular"
"tarjeta de ahorros","3","tarjeta de ahorros"
"credimas","3","credimas"
"bcp","3","bcp"
"BCP","3","BCP"
"seguro vehicular","3","seguro vehicular"
"préstamo vehicular","3","préstamo vehicular"
"créditos vehicular","3","créditos vehicular"
"tarjeta de ahorros","3","tarjeta de ahorros"
"aplicación","3","aplicación"
"chequera","3","chequera"
"chequera","3","chequera"
"ahorros de BCP","3","ahorros de BCP"
"cuenta débito","3","cuenta débito"
"débito","3","débito"
"ahorros del BCP","3","ahorros del BCP"
"prenda vehicular","3","prenda vehicular"
"crédito para vehículos","3","crédito para vehículos"
